id,siteName,siteLink,page_param,article_link,page_param_rule
67,TRUNG ?ÔNG,https://www.vietnamplus.vn/thegioi/trungdong.vnp,https://www.vietnamplus.vn/thegioi/trungdong/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
68,CHÂU ÂU,https://www.vietnamplus.vn/thegioi/chauau.vnp,https://www.vietnamplus.vn/thegioi/chauau/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
69,CHÂU PHI,https://www.vietnamplus.vn/thegioi/chauphi.vnp,https://www.vietnamplus.vn/thegioi/chauphi/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
70,CHÂU M?,https://www.vietnamplus.vn/thegioi/chaumy.vnp,https://www.vietnamplus.vn/thegioi/chaumy/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
71,KINH DOANH,https://www.vietnamplus.vn/kinhte/kinhdoanh.vnp,https://www.vietnamplus.vn/kinhte/kinhdoanh/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
72,TÀI CHÍNH,https://www.vietnamplus.vn/kinhte/taichinh.vnp,https://www.vietnamplus.vn/kinhte/taichinh/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
73,TÍN D?NG NÔNG THÔN,https://www.vietnamplus.vn/kinhte/tindung.vnp,https://www.vietnamplus.vn/kinhte/tindung/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
74,CH?NG KHOÁN,https://www.vietnamplus.vn/kinhte/chungkhoan.vnp,https://www.vietnamplus.vn/kinhte/chungkhoan/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
75,B?T ??NG S?N,https://www.vietnamplus.vn/kinhte/batdongsan.vnp,https://www.vietnamplus.vn/kinhte/batdongsan/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
76,DOANH NGHI?P,https://www.vietnamplus.vn/kinhte/doanhnghiep.vnp,https://www.vietnamplus.vn/kinhte/doanhnghiep/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
77,THÔNG CÁO BÁO CHÍ,https://www.vietnamplus.vn/kinhte/thong-cao-bao-chi.vnp,https://www.vietnamplus.vn/kinhte/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
78,GIÁO D?C,https://www.vietnamplus.vn/xahoi/giaoduc.vnp,https://www.vietnamplus.vn/xahoi/giaoduc/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
79,Y T?,https://www.vietnamplus.vn/xahoi/yte.vnp,https://www.vietnamplus.vn/xahoi/yte/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
80,PHÁP LU?T,https://www.vietnamplus.vn/xahoi/phapluat.vnp,https://www.vietnamplus.vn/xahoi/phapluat/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
81,GIAO THÔNG,https://www.vietnamplus.vn/xahoi/giaothong.vnp,https://www.vietnamplus.vn/xahoi/giaothong/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
82,NG??I VI?T B?N PH??NG,https://www.vietnamplus.vn/xahoi/vietkieu.vnp,https://www.vietnamplus.vn/xahoi/vietkieu/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
83,PHONG CÁCH,https://www.vietnamplus.vn/doisong/phongcach.vnp,https://www.vietnamplus.vn/doisong/phongcach/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
84,S?C KH?E,https://www.vietnamplus.vn/doisong/suckhoe.vnp,https://www.vietnamplus.vn/doisong/suckhoe/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
85,LÀM ??P,https://www.vietnamplus.vn/doisong/lamdep.vnp,https://www.vietnamplus.vn/doisong/lamdep/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
86,ANH HÙNG NH?,https://www.vietnamplus.vn/doisong.vnp,https://www.vietnamplus.vn/doisong/littleheroes/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
87,?I?N ?NH,https://www.vietnamplus.vn/vanhoa/dienanh.vnp,"https://www.vietnamplus.vn/vanhoa/dienanh/trang[NEXT_PAGE]
.vnp",//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
88,ÂM NH?C,https://www.vietnamplus.vn/vanhoa/amnhac.vnp,https://www.vietnamplus.vn/vanhoa/amnhac/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
89,TH?I TRANG,https://www.vietnamplus.vn/vanhoa/thoitrang.vnp,https://www.vietnamplus.vn/vanhoa/thoitrang/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
